cam_time,cam_waveform,cam_bpm
18.799887,33780.0,0.0
19.608841,190170.5,0.0
19.707839,195908.5,0.0
19.847831,202638.0,0.0
19.882829,202638.0,0.0
19.988819,205929.5,0.0
20.038819,205929.5,0.0
20.14781,206642.5,0.0
20.198804,206642.5,0.0
20.2858,209532.5,0.0
20.320798,209532.5,0.0
20.428805,213268.5,0.0
20.46479,213268.5,0.0
20.594782,216940.0,0.0
20.637778,216940.0,0.0
20.740774,222359.5,0.0
20.783781,222359.5,0.0
20.891763,224379.5,0.0
20.928762,224379.5,0.0
21.043756,225612.0,0.0
21.084752,225612.0,0.0
21.186747,232036.5,0.0
21.230745,232036.5,0.0
21.346738,231429.0,0.0
21.394738,231429.0,0.0
21.491737,251963.5,0.0
21.543724,251963.5,0.0
21.62872,265046.5,0.0
21.663728,265046.5,0.0
21.795712,273908.5,0.0
21.844707,273908.5,0.0
21.932701,271307.5,0.0
21.9637,271307.5,0.0
22.098693,273033.5,0.0
22.139695,273033.5,0.0
22.244685,279679.0,0.0
22.295687,279679.0,0.0
22.382676,285558.0,0.0
22.424678,285558.0,0.0
22.549667,291482.5,0.0
22.589663,291482.5,0.0
22.695658,299055.0,0.0
22.731654,299055.0,0.0
22.849648,318747.0,0.0
22.895648,318747.0,0.0
22.996646,345758.0,0.0
23.046638,345758.0,0.0
23.139633,372763.0,0.0
23.179628,372763.0,0.0
23.293622,395524.0,0.0
23.323622,395524.0,0.0
23.50961,412030.0,0.0
23.553608,412030.0,0.0
23.620602,420075.5,0.0
23.6656,420075.5,0.0
23.748595,424507.0,0.0
23.798592,424507.0,0.0
23.897586,434171.0,0.0
23.944583,434171.0,0.0
24.055601,441987.5,0.0
24.088575,441987.5,0.0
24.209626,446739.5,0.0
24.261566,446739.5,0.0
24.35956,454650.0,0.0
24.403557,454650.0,0.0
24.512551,456888.5,0.0
24.559549,456888.5,0.0
24.647542,452503.5,0.0
24.708538,452503.5,0.0
24.813533,448292.0,0.0
24.857534,448292.0,0.0
24.951523,456162.0,0.0
25.001522,456162.0,0.0
25.108514,470022.0,0.0
25.146513,470022.0,0.0
25.263508,487014.0,0.0
25.315506,487014.0,0.0
25.405499,503770.0,0.0
25.451496,503770.0,0.0
25.560512,513517.5,0.0
25.606486,513517.5,0.0
25.697479,525237.0,0.0
25.740509,525237.0,0.0
25.92347,541949.0,0.0
25.978463,541949.0,0.0
26.019461,556600.5,0.0
26.146464,555091.0,0.0
26.190451,555091.0,0.0
26.301447,545972.5,0.0
26.332443,545972.5,0.0
26.453436,538487.5,0.0
26.562431,538487.5,0.0
26.611439,533648.0,0.0
26.648427,533648.0,0.0
26.752419,533276.0,0.0
26.796417,533276.0,0.0
26.914411,523112.5,0.0
26.948407,523112.5,0.0
27.0584,505323.5,0.0
27.105399,505323.5,0.0
27.200391,482188.5,0.0
27.24039,482188.5,0.0
27.360385,465976.0,0.0
27.410378,465976.0,0.0
27.503373,472054.5,0.0
27.541373,472054.5,0.0
27.65539,499113.5,0.0
27.694363,499113.5,0.0
27.808357,515053.0,0.0
27.839357,515053.0,0.0
27.961348,530799.0,0.0
27.999343,530799.0,0.0
28.124339,556244.0,0.0
28.156337,556244.0,0.0
28.268335,581333.5,0.0
28.301326,581333.5,0.0
28.418321,606159.0,0.0
28.468316,606159.0,0.0
28.561311,632181.5,0.0
28.60331,632181.5,0.0
28.707303,656942.0,0.0
28.7483,656942.0,0.0
28.876351,669469.0,0.0
28.914291,669469.0,0.0
29.022286,703662.5,0.0
29.055282,703662.5,0.0
29.165278,747585.5,0.0
29.206274,747585.5,0.0
29.315269,725974.5,0.0
29.350265,725974.5,0.0
29.458258,544658.5,0.0
29.486257,544658.5,0.0
29.63125,349580.0,0.0
29.657267,349580.0,0.0
29.764243,319974.0,0.0
29.807238,319974.0,0.0
29.901266,362083.0,0.0
29.931231,362083.0,0.0
30.070225,396909.0,0.0
30.10822,396909.0,0.0
30.206214,414006.5,0.0
30.241213,414006.5,0.0
30.370211,429937.0,0.0
